usageDate,transactionDate,usageCategory,reasonType,productName,reasonComment,chargedItemID,tokensConsumed,quantity
6/30/2023 0:00,7/3/2023 20:32,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1688416329024,1000,1000
8/31/2023 0:00,8/31/2023 16:43,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1693500207491,1000,1000
8/31/2023 0:00,8/31/2023 16:42,MANUAL_CONSUMPTION,Off network,BIM 360 Team,BIM 360 Team - 19 Tokens Per User,110004354574-1693500163128,399,21
8/31/2023 0:00,8/31/2023 16:44,MANUAL_CONSUMPTION,Off network,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1693500257483,500,500
9/30/2023 0:00,10/3/2023 14:18,MANUAL_CONSUMPTION,Off network,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1696342700694,500,500
9/30/2023 0:00,10/3/2023 13:35,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1696340117108,1000,1000
9/30/2023 0:00,10/2/2023 21:31,MANUAL_CONSUMPTION,Off network,BIM 360 Team,BIM 360 Team - 19 Tokens Per User,110004354574-1696282257292,380,20
9/30/2023 0:00,10/2/2023 16:34,MANUAL_ADJUSTMENT,Off network,BIM 360 Docs Enterprise Unlimited,"BIM Docs Enterprise Unlimited - 2,435 Tokens per month",110004354574-1696264473764,2435,1
11/30/2023 0:00,11/30/2023 23:42,MANUAL_ADJUSTMENT,Off network,BIM 360 Docs Enterprise Unlimited,"BIM Docs Enterprise Unlimited - 2,435 Tokens per month",110004354574-1701387729526,2435,1
11/30/2023 0:00,11/30/2023 22:36,MANUAL_CONSUMPTION,Off network,BIM 360 Team,BIM 360 Team - 19 Tokens Per User,110004354574-1701383789535,380,20
11/30/2023 0:00,11/30/2023 19:36,MANUAL_ADJUSTMENT,Off network,Correction,ACS Oxygen ID  - July Reprocessing,110004354574-1701372968011,-24,1
11/30/2023 0:00,12/1/2023 20:49,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1701463728879,1000,1000
